Zeit	Kanal A
(s)	(mV)

0.04370000	-3.36491100
0.04380000	-4.48449800
0.04390000	-4.48449800
0.04400000	-4.48449800
0.04410000	-3.36491100
0.04420000	-3.36491100
0.04430000	-3.36491100
0.04440000	-3.36491100
0.04450000	-4.48449800
0.04460000	-4.48449800
0.04470000	-4.48449800
0.04480000	-5.60716000
0.04490000	-3.36491100
0.04500000	-4.48449800
0.04510000	-4.48449800
0.04520000	-5.60716000
0.04530000	-3.36491100
0.04540000	-3.36491100
0.04550000	-5.60716000
0.04560000	-5.60716000
0.04570000	-4.48449800
0.04580000	-4.48449800
0.04590000	-4.48449800
0.04600000	-4.48449800
0.04610000	-3.36491100
0.04620000	-4.48449800
0.04630000	-7.84940900
0.04640000	-3.36491100
0.04650000	-4.48449800
0.04660000	-4.48449800
0.04670000	-4.48449800
0.04680000	-4.48449800
0.04690000	-4.48449800
0.04700000	-4.48449800
0.04710000	-5.60716000
0.04720000	-5.60716000
0.04730000	-5.60716000
0.04740000	-4.48449800
0.04750000	-4.48449800
0.04760000	-6.72982200
0.04770000	-4.48449800
0.04780000	-5.60716000
0.04790000	-5.60716000
0.04800000	-6.72982200
0.04810000	-4.48449800
0.04820000	-4.48449800
0.04830000	-4.48449800
0.04840000	-4.48449800
0.04850000	-4.48449800
0.04860000	-4.48449800
0.04870000	-4.48449800
0.04880000	-4.48449800
0.04890000	-4.48449800
0.04900000	-4.48449800
0.04910000	-4.48449800
0.04920000	-4.48449800
0.04930000	-5.60716000
0.04940000	-5.60716000
0.04950000	-4.48449800
0.04960000	-5.60716000
0.04970000	-3.36491100
0.04980000	-4.48449800
0.04990000	-4.48449800
0.05000000	-4.48449800
0.05010000	-4.48449800
0.05020000	-4.48449800
0.05030000	-5.60716000
0.05040000	-4.48449800
0.05050000	-4.48449800
0.05060000	-4.48449800
0.05070000	-4.48449800
0.05080000	-4.48449800
0.05090000	-5.60716000
0.05100000	-4.48449800
0.05110000	-4.48449800
0.05120000	-4.48449800
0.05130000	-3.36491100
0.05140000	-4.48449800
0.05150000	-4.48449800
0.05160000	-4.48449800
0.05170000	-4.48449800
0.05180000	-4.48449800
0.05190000	-7.84940900
0.05200000	-4.48449800
0.05210000	-4.48449800
0.05220000	-4.48449800
0.05230000	-5.60716000
0.05240000	-4.48449800
0.05250000	-6.72982200
0.05260000	-5.60716000
0.05270000	-6.72982200
0.05280000	-5.60716000
0.05290000	-4.48449800
0.05300000	-3.36491100
0.05310000	-5.60716000
0.05320000	-4.48449800
0.05330000	-4.48449800
0.05340000	-5.60716000
0.05350000	-4.48449800
0.05360000	-8.97207200
0.05370000	-4.48449800
0.05380000	-4.48449800
0.05390000	-4.48449800
0.05400000	-4.48449800
0.05410000	-4.48449800
0.05420000	-4.48449800
0.05430000	-4.48449800
0.05440000	-4.48449800
0.05450000	-4.48449800
0.05460000	-6.72982200
0.05470000	-4.48449800
0.05480000	-4.48449800
0.05490000	-5.60716000
0.05500000	-4.48449800
0.05510000	-4.48449800
0.05520000	-4.48449800
0.05530000	-4.48449800
0.05540000	-4.48449800
0.05550000	-4.48449800
0.05560000	-4.48449800
0.05570000	-4.48449800
0.05580000	-4.48449800
0.05590000	-3.36491100
0.05600000	-4.48449800
0.05610000	-8.97207200
0.05620000	-4.48449800
0.05630000	-4.48449800
0.05640000	-4.48449800
0.05650000	-4.48449800
0.05660000	-6.72982200
0.05670000	-3.36491100
0.05680000	-3.36491100
0.05690000	-3.36491100
0.05700000	-4.48449800
0.05710000	-4.48449800
0.05720000	-4.48449800
0.05730000	-4.48449800
0.05740000	-4.48449800
0.05750000	-4.48449800
0.05760000	-4.48449800
0.05770000	-4.48449800
0.05780000	-5.60716000
